
==================================================
=== INICIANDO ALGORITMO GENÉTICO ===
==================================================
[AG Geração 001] Média da População: 879.52 | Aptidão (Melhor): 675 | Melhor Indivíduo: [3, 21, 7, 1, 25, 27, 24, 20, 5, 14, 28, 23, 4, 19, 22, 12, 6, 9, 11, 18, 16, 10, 0, 13, 15, 29, 17, 26, 2, 8]
[AG Geração 002] Média da População: 845.80 | Aptidão (Melhor): 652 | Melhor Indivíduo: [2, 22, 18, 0, 8, 26, 28, 23, 20, 21, 16, 25, 14, 15, 10, 27, 19, 13, 11, 3, 29, 6, 7, 24, 5, 9, 12, 17, 1, 4]
[AG Geração 003] Média da População: 828.68 | Aptidão (Melhor): 652 | Melhor Indivíduo: [2, 22, 18, 0, 8, 26, 28, 23, 20, 21, 16, 25, 14, 15, 10, 27, 19, 13, 11, 3, 29, 6, 7, 24, 5, 9, 12, 17, 1, 4]
[AG Geração 004] Média da População: 785.60 | Aptidão (Melhor): 652 | Melhor Indivíduo: [2, 22, 18, 0, 8, 26, 28, 23, 20, 21, 16, 25, 14, 15, 10, 27, 19, 13, 11, 3, 29, 6, 7, 24, 5, 9, 12, 17, 1, 4]
[AG Geração 005] Média da População: 783.80 | Aptidão (Melhor): 635 | Melhor Indivíduo: [2, 22, 18, 0, 8, 26, 28, 23, 20, 21, 16, 25, 14, 15, 10, 27, 19, 13, 11, 24, 12, 9, 29, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 006] Média da População: 761.60 | Aptidão (Melhor): 635 | Melhor Indivíduo: [2, 22, 18, 0, 8, 26, 28, 23, 20, 21, 16, 25, 14, 15, 10, 27, 19, 13, 11, 24, 12, 9, 29, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 007] Média da População: 719.74 | Aptidão (Melhor): 629 | Melhor Indivíduo: [2, 22, 27, 0, 8, 26, 28, 23, 20, 21, 16, 25, 14, 15, 10, 18, 19, 13, 11, 3, 29, 6, 7, 24, 5, 9, 12, 17, 1, 4]
[AG Geração 008] Média da População: 686.70 | Aptidão (Melhor): 629 | Melhor Indivíduo: [2, 22, 27, 0, 8, 26, 28, 23, 20, 21, 16, 25, 14, 15, 10, 18, 19, 13, 11, 3, 29, 6, 7, 24, 5, 9, 12, 17, 1, 4]
[AG Geração 009] Média da População: 697.86 | Aptidão (Melhor): 595 | Melhor Indivíduo: [2, 22, 18, 0, 8, 26, 28, 3, 20, 16, 21, 25, 14, 15, 10, 27, 19, 13, 11, 24, 12, 9, 29, 1, 5, 17, 6, 4, 23, 7]
[AG Geração 010] Média da População: 694.88 | Aptidão (Melhor): 593 | Melhor Indivíduo: [0, 2, 9, 1, 8, 26, 28, 23, 20, 21, 4, 25, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 24, 5, 17, 16, 3, 22, 18]
[AG Geração 011] Média da População: 690.32 | Aptidão (Melhor): 593 | Melhor Indivíduo: [0, 2, 9, 1, 8, 26, 28, 23, 20, 21, 4, 25, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 24, 5, 17, 16, 3, 22, 18]
[AG Geração 012] Média da População: 698.36 | Aptidão (Melhor): 593 | Melhor Indivíduo: [0, 2, 9, 1, 8, 26, 28, 23, 20, 21, 4, 25, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 24, 5, 17, 16, 3, 22, 18]
[AG Geração 013] Média da População: 685.54 | Aptidão (Melhor): 580 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 25, 14, 15, 10, 18, 19, 13, 11, 24, 12, 9, 29, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 014] Média da População: 685.16 | Aptidão (Melhor): 580 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 25, 14, 15, 10, 18, 19, 13, 11, 24, 12, 9, 29, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 015] Média da População: 699.22 | Aptidão (Melhor): 569 | Melhor Indivíduo: [0, 25, 3, 1, 8, 26, 28, 23, 20, 21, 4, 9, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 24, 5, 17, 16, 2, 22, 18]
[AG Geração 016] Média da População: 713.62 | Aptidão (Melhor): 569 | Melhor Indivíduo: [0, 25, 3, 1, 8, 26, 28, 23, 20, 21, 4, 9, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 24, 5, 17, 16, 2, 22, 18]
[AG Geração 017] Média da População: 692.78 | Aptidão (Melhor): 569 | Melhor Indivíduo: [0, 25, 3, 1, 8, 26, 28, 23, 20, 21, 4, 9, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 24, 5, 17, 16, 2, 22, 18]
[AG Geração 018] Média da População: 671.86 | Aptidão (Melhor): 554 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 25, 18, 19, 13, 11, 24, 12, 9, 29, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 019] Média da População: 677.62 | Aptidão (Melhor): 554 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 25, 18, 19, 13, 11, 24, 12, 9, 29, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 020] Média da População: 649.94 | Aptidão (Melhor): 550 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 15, 27, 10, 14, 21, 25, 18, 19, 13, 11, 24, 12, 9, 29, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 021] Média da População: 637.94 | Aptidão (Melhor): 540 | Melhor Indivíduo: [0, 25, 3, 1, 8, 26, 28, 23, 20, 21, 4, 9, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 5, 17, 2, 22, 16, 18, 24]
[AG Geração 022] Média da População: 610.14 | Aptidão (Melhor): 540 | Melhor Indivíduo: [0, 25, 3, 1, 8, 26, 28, 23, 20, 21, 4, 9, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 5, 17, 2, 22, 16, 18, 24]
[AG Geração 023] Média da População: 609.22 | Aptidão (Melhor): 540 | Melhor Indivíduo: [0, 25, 3, 1, 8, 26, 28, 23, 20, 21, 4, 9, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 5, 17, 2, 22, 16, 18, 24]
[AG Geração 024] Média da População: 626.40 | Aptidão (Melhor): 540 | Melhor Indivíduo: [0, 25, 3, 1, 8, 26, 28, 23, 20, 21, 4, 9, 14, 15, 10, 27, 19, 13, 11, 12, 29, 6, 7, 5, 17, 2, 22, 16, 18, 24]
[AG Geração 025] Média da População: 590.44 | Aptidão (Melhor): 534 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 29, 18, 19, 13, 11, 24, 12, 9, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 026] Média da População: 585.10 | Aptidão (Melhor): 534 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 29, 18, 19, 13, 11, 24, 12, 9, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 027] Média da População: 562.26 | Aptidão (Melhor): 534 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 29, 18, 19, 13, 11, 24, 12, 9, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 028] Média da População: 574.16 | Aptidão (Melhor): 531 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 25, 18, 29, 13, 11, 24, 12, 9, 19, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 029] Média da População: 553.54 | Aptidão (Melhor): 520 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 18, 29, 19, 13, 11, 24, 12, 9, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 030] Média da População: 578.12 | Aptidão (Melhor): 512 | Melhor Indivíduo: [2, 22, 0, 8, 26, 29, 28, 23, 20, 21, 27, 10, 14, 15, 16, 18, 19, 13, 11, 24, 12, 9, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 031] Média da População: 564.96 | Aptidão (Melhor): 511 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 18, 29, 19, 13, 11, 24, 9, 12, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 032] Média da População: 553.52 | Aptidão (Melhor): 511 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 18, 29, 19, 13, 11, 24, 9, 12, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 033] Média da População: 524.54 | Aptidão (Melhor): 511 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 18, 29, 19, 13, 11, 24, 9, 12, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 034] Média da População: 524.90 | Aptidão (Melhor): 506 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 29, 14, 15, 18, 10, 19, 13, 11, 24, 9, 12, 25, 1, 5, 17, 6, 4, 3, 7]
[AG Geração 035] Média da População: 522.60 | Aptidão (Melhor): 489 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 18, 29, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 036] Média da População: 550.78 | Aptidão (Melhor): 489 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 18, 29, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 037] Média da População: 545.22 | Aptidão (Melhor): 489 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 18, 29, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 038] Média da População: 542.72 | Aptidão (Melhor): 483 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 23, 20, 21, 27, 10, 14, 15, 13, 19, 29, 18, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 039] Média da População: 539.52 | Aptidão (Melhor): 470 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 29, 20, 21, 27, 10, 14, 15, 18, 23, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 040] Média da População: 558.32 | Aptidão (Melhor): 470 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 29, 20, 21, 27, 10, 14, 15, 18, 23, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 041] Média da População: 564.06 | Aptidão (Melhor): 470 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 29, 20, 21, 27, 10, 14, 15, 18, 23, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 042] Média da População: 547.92 | Aptidão (Melhor): 470 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 29, 20, 21, 27, 10, 14, 15, 18, 23, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 043] Média da População: 528.44 | Aptidão (Melhor): 470 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 29, 20, 21, 27, 10, 14, 15, 18, 23, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 044] Média da População: 515.48 | Aptidão (Melhor): 470 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 29, 20, 21, 27, 10, 14, 15, 18, 23, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
[AG Geração 045] Média da População: 506.28 | Aptidão (Melhor): 470 | Melhor Indivíduo: [2, 22, 0, 8, 26, 16, 28, 29, 20, 21, 27, 10, 14, 15, 18, 23, 19, 13, 11, 24, 9, 6, 25, 1, 5, 17, 12, 4, 3, 7]
