João Henrique Pires Bergallo
Larissa Oliveira da Silva
Maria Eduarda da Silveira Schüler
==================================================
=== INICIANDO ALGORITMO GENÉTICO ===
==================================================
[AG Geração 001] Média da População: 865.34 | Aptidão (Melhor): 759 | Melhor Indivíduo: [4, 7, 6, 5, 20, 3, 12, 17, 24, 14, 0, 11, 10, 2, 8, 1, 27, 29, 18, 21, 25, 15, 13, 26, 23, 28, 19, 22, 9, 16]
[AG Geração 002] Média da População: 828.54 | Aptidão (Melhor): 720 | Melhor Indivíduo: [4, 7, 6, 5, 20, 3, 12, 17, 14, 0, 11, 10, 2, 8, 1, 27, 29, 18, 21, 13, 26, 23, 28, 19, 22, 24, 15, 25, 9, 16]
[AG Geração 003] Média da População: 805.90 | Aptidão (Melhor): 604 | Melhor Indivíduo: [26, 14, 6, 5, 20, 3, 12, 10, 19, 4, 13, 8, 2, 23, 1, 24, 9, 28, 27, 7, 16, 21, 25, 17, 15, 22, 29, 0, 18, 11]
[AG Geração 004] Média da População: 789.12 | Aptidão (Melhor): 604 | Melhor Indivíduo: [26, 14, 6, 5, 20, 3, 12, 10, 19, 4, 13, 8, 2, 23, 1, 24, 9, 28, 27, 7, 16, 21, 25, 17, 15, 22, 29, 0, 18, 11]
[AG Geração 005] Média da População: 751.74 | Aptidão (Melhor): 590 | Melhor Indivíduo: [26, 14, 6, 5, 20, 3, 12, 10, 19, 4, 22, 8, 2, 23, 1, 24, 9, 28, 27, 7, 16, 21, 25, 17, 15, 13, 29, 0, 18, 11]
[AG Geração 006] Média da População: 748.02 | Aptidão (Melhor): 590 | Melhor Indivíduo: [26, 14, 6, 5, 20, 3, 12, 10, 19, 4, 22, 8, 2, 23, 1, 24, 9, 28, 27, 7, 16, 21, 25, 17, 15, 13, 29, 0, 18, 11]
[AG Geração 007] Média da População: 766.72 | Aptidão (Melhor): 580 | Melhor Indivíduo: [25, 28, 7, 5, 20, 27, 12, 17, 14, 0, 11, 10, 2, 8, 1, 3, 29, 18, 21, 13, 26, 23, 19, 16, 9, 4, 24, 6, 22, 15]
[AG Geração 008] Média da População: 739.56 | Aptidão (Melhor): 576 | Melhor Indivíduo: [10, 2, 8, 27, 29, 22, 9, 3, 24, 1, 23, 4, 6, 19, 28, 7, 21, 18, 13, 26, 16, 15, 25, 5, 20, 12, 17, 14, 0, 11]
[AG Geração 009] Média da População: 718.02 | Aptidão (Melhor): 576 | Melhor Indivíduo: [10, 2, 8, 27, 29, 22, 9, 3, 24, 1, 23, 4, 6, 19, 28, 7, 21, 18, 13, 26, 16, 15, 25, 5, 20, 12, 17, 14, 0, 11]
[AG Geração 010] Média da População: 720.46 | Aptidão (Melhor): 570 | Melhor Indivíduo: [25, 21, 7, 5, 20, 27, 12, 17, 26, 0, 11, 10, 2, 8, 1, 3, 29, 18, 28, 13, 14, 23, 19, 16, 9, 4, 24, 6, 22, 15]
[AG Geração 011] Média da População: 740.58 | Aptidão (Melhor): 561 | Melhor Indivíduo: [11, 10, 2, 8, 29, 22, 9, 3, 24, 1, 23, 4, 6, 19, 28, 7, 21, 18, 13, 26, 16, 15, 25, 5, 20, 27, 12, 17, 14, 0]
[AG Geração 012] Média da População: 717.24 | Aptidão (Melhor): 537 | Melhor Indivíduo: [10, 2, 8, 14, 29, 22, 9, 3, 24, 1, 23, 4, 6, 19, 28, 7, 21, 18, 13, 26, 16, 15, 25, 5, 20, 27, 12, 17, 0, 11]
[AG Geração 013] Média da População: 682.22 | Aptidão (Melhor): 537 | Melhor Indivíduo: [10, 2, 8, 14, 29, 22, 9, 3, 24, 1, 23, 4, 6, 19, 28, 7, 21, 18, 13, 26, 16, 15, 25, 5, 20, 27, 12, 17, 0, 11]
[AG Geração 014] Média da População: 664.84 | Aptidão (Melhor): 537 | Melhor Indivíduo: [10, 2, 8, 14, 29, 22, 9, 3, 24, 1, 23, 4, 6, 19, 28, 7, 21, 18, 13, 26, 16, 15, 25, 5, 20, 27, 12, 17, 0, 11]
[AG Geração 015] Média da População: 634.34 | Aptidão (Melhor): 537 | Melhor Indivíduo: [10, 2, 8, 14, 29, 22, 9, 3, 24, 1, 23, 4, 6, 19, 28, 7, 21, 18, 13, 26, 16, 15, 25, 5, 20, 27, 12, 17, 0, 11]
[AG Geração 016] Média da População: 596.84 | Aptidão (Melhor): 514 | Melhor Indivíduo: [10, 2, 8, 14, 29, 22, 9, 3, 24, 1, 23, 4, 6, 13, 28, 7, 21, 18, 19, 26, 16, 15, 25, 5, 20, 27, 12, 17, 0, 11]
[AG Geração 017] Média da População: 594.52 | Aptidão (Melhor): 514 | Melhor Indivíduo: [10, 2, 8, 14, 29, 22, 9, 3, 24, 1, 23, 4, 6, 13, 28, 7, 21, 18, 19, 26, 16, 15, 25, 5, 20, 27, 12, 17, 0, 11]
[AG Geração 018] Média da População: 544.12 | Aptidão (Melhor): 514 | Melhor Indivíduo: [10, 2, 8, 14, 29, 22, 9, 3, 24, 1, 23, 4, 6, 13, 28, 7, 21, 18, 19, 26, 16, 15, 25, 5, 20, 27, 12, 17, 0, 11]
[AG Geração 019] Média da População: 529.10 | Aptidão (Melhor): 514 | Melhor Indivíduo: [10, 2, 8, 14, 29, 22, 9, 3, 24, 1, 23, 4, 6, 13, 28, 7, 21, 18, 19, 26, 16, 15, 25, 5, 20, 27, 12, 17, 0, 11]
[AG Geração 020] Média da População: 520.06 | Aptidão (Melhor): 503 | Melhor Indivíduo: [10, 2, 8, 14, 29, 12, 9, 3, 24, 1, 23, 4, 6, 13, 28, 7, 21, 18, 19, 26, 16, 15, 25, 5, 20, 27, 22, 17, 0, 11]
[AG Geração 021] Média da População: 521.50 | Aptidão (Melhor): 503 | Melhor Indivíduo: [10, 2, 8, 14, 29, 12, 9, 3, 24, 1, 23, 4, 6, 13, 28, 7, 21, 18, 19, 26, 16, 15, 25, 5, 20, 27, 22, 17, 0, 11]
[AG Geração 022] Média da População: 592.12 | Aptidão (Melhor): 503 | Melhor Indivíduo: [10, 2, 8, 14, 29, 12, 9, 3, 24, 1, 23, 4, 6, 13, 28, 7, 21, 18, 19, 26, 16, 15, 25, 5, 20, 27, 22, 17, 0, 11]
[AG Geração 023] Média da População: 599.58 | Aptidão (Melhor): 488 | Melhor Indivíduo: [2, 10, 8, 14, 29, 12, 9, 3, 24, 1, 23, 4, 6, 13, 28, 7, 21, 18, 19, 26, 16, 15, 25, 5, 20, 27, 22, 17, 0, 11]
